run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
3,100000,300000,4,4,2,hot,0,0.114162,18481152,4133128,476168,79605648,79605648,0,204194,95806,31314,23,16,186,1,30956,1205,4301,1,1922910,18165345,12638060,3214079,19785643,50431682,4268696,0,661074,744,True
3,100000,300000,4,4,2,hot,0,0.106863,18448384,4133128,476168,79622288,79622288,0,204194,95806,31348,21,16,147,1,30977,975,3425,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,hot,0,0.111771,18333696,4133128,476168,79778960,79778960,0,204194,95806,31481,23,16,153,1,31121,980,3496,1,1845219,17850917,12504301,1979333,19587890,49877293,4372248,0,396961,306,True
3,100000,300000,4,2,2,hot,0,0.10671,18350080,4133128,476168,79696272,79696272,0,204194,95806,31368,20,16,179,1,31021,1149,4095,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,hot,0,0.109897,18169856,4133128,476168,79758224,79758224,0,204194,95806,31435,21,16,0,1,31072,0,0,1,1948713,17735734,12521474,0,19259330,50712477,4013084,0,0,0,True
3,100000,300000,4,1,2,hot,0,0.108223,18219008,4133128,476168,79721872,79721872,0,204194,95806,31447,21,16,0,1,31071,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,4,2,zipfian,0,0.237772,21905408,4123832,466872,109812400,109812400,0,204166,95834,12235,91,16,8255,1,12091,81861,257155,1,1363497,26371602,2175159,143334734,33217820,19403723,10267311,0,37440256,33020,True
3,100000,300000,4,4,2,zipfian,0,0.235018,21954560,4123832,466872,109789616,109789616,0,204166,95834,12220,86,16,8214,1,12079,81701,256951,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,2,2,zipfian,0,0.19763,21708800,4123832,466872,109811120,109811120,0,204166,95834,12202,94,16,8263,1,12064,81947,257935,1,1300197,26601157,1952180,106379016,32559380,18953049,8297871,0,27277311,16526,True
3,100000,300000,4,2,2,zipfian,0,0.186965,21807104,4123832,466872,109743536,109743536,0,204166,95834,12211,92,16,8211,1,12076,81777,256960,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,300000,4,1,2,zipfian,0,0.0934896,21544960,4123832,466872,109793456,109793456,0,204166,95834,12185,86,16,0,1,12027,0,0,1,1708342,23941336,12508221,0,28183675,20796192,4895503,0,0,0,True
3,100000,300000,4,1,2,zipfian,0,0.0901945,21561344,4123832,466872,109767600,109767600,0,204166,95834,12237,94,16,0,1,12093,0,0,0,0,0,0,0,0,0,0,0,0,0,True
