run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
2,3,100000,300000,4,2,8,uniform,1,0.173229,71598080,5882360,2225400,48245176,48245176,0,272209,27791,25653,256,16,4486,0,0,0,149404,True
2,4,100000,300000,4,2,4,uniform,1,0.226054,115032064,4698416,1041456,90200000,90200000,0,245000,55000,45031,256,16,1920,0,0,0,53693,True
2,1,100000,300000,4,2,0,uniform,1,0.143573,251887616,3656960,0,225075968,225075968,0,0,300000,2890,256,16,2736,1,2890,298750,298750,True
2,2,100000,300000,4,2,2,uniform,1,0.091721,107905024,4123832,466872,85878600,85878600,0,204177,95823,1934,256,16,1846,1,1909,95609,299294,True
2,3,100000,300000,4,2,8,uniform,1,0.0660366,53805056,5882360,2225400,32122296,32122296,0,272209,27791,1439,256,16,1413,1,1298,27776,299829,True
2,4,100000,300000,4,2,4,uniform,1,0.077254,75759616,4698416,1041456,54784192,54784192,0,245000,55000,1637,256,16,1597,1,1597,54941,299670,True
2,1,100000,300000,4,4,4,uniform,1,0.232725,115097600,4698416,1041456,90200000,90200000,0,245000,55000,45030,256,16,1913,0,0,0,53425,True
2,2,100000,300000,4,4,8,uniform,1,0.193669,71680000,5882360,2225400,48245176,48245176,0,272209,27791,25667,256,16,4405,0,0,0,148455,True
2,3,100000,300000,4,4,2,uniform,1,0.305211,181862400,4123832,466872,152550216,152550216,0,204177,95823,64958,252,16,350,0,0,0,10569,True
2,4,100000,300000,4,4,0,uniform,1,0.412848,511934464,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
2,1,100000,300000,4,4,4,uniform,1,0.0885932,75857920,4698416,1041456,54825664,54825664,0,245000,55000,1676,256,16,1634,1,1636,54939,299665,True
2,2,100000,300000,4,4,8,uniform,1,0.0761628,53919744,5882360,2225400,32095160,32095160,0,272209,27791,1447,256,16,1411,1,1310,27758,299704,True
2,3,100000,300000,4,4,2,uniform,1,0.103457,108265472,4123832,466872,86024520,86024520,0,204177,95823,1960,256,16,1881,1,1951,95621,299323,True
2,4,100000,300000,4,4,0,uniform,1,0.162915,252149760,3656960,0,225282304,225282304,0,0,300000,2907,256,16,2742,1,2907,298666,298666,True
3,1,100000,300000,4,1,8,uniform,0,0.0455921,20627456,5882360,2225400,32071352,32071352,0,272209,27791,1447,256,16,0,1,1316,0,0,True
3,2,100000,300000,4,1,0,uniform,0,0.098582,18038784,3656960,0,224807936,224807936,0,0,300000,2865,256,16,0,1,2865,0,0,True
3,3,100000,300000,4,1,4,uniform,0,0.0550059,19202048,4698416,1041456,54726336,54726336,0,245000,55000,1662,256,16,0,1,1619,0,0,True
3,4,100000,300000,4,1,2,uniform,0,0.0633144,18464768,4123832,466872,85878344,85878344,0,204177,95823,1951,256,16,0,1,1934,0,0,True
3,1,100000,300000,4,1,8,uniform,0,0.138022,20299776,5882360,2225400,48245176,48245176,0,272209,27791,25610,256,16,0,0,0,0,0,True
3,2,100000,300000,4,1,0,uniform,0,0.40422,17530880,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,3,100000,300000,4,1,4,uniform,0,0.20438,18776064,4698416,1041456,90200000,90200000,0,245000,55000,45083,256,16,0,0,0,0,0,True
3,4,100000,300000,4,1,2,uniform,0,0.310828,18120704,4123832,466872,152550216,152550216,0,204177,95823,64956,253,16,0,0,0,0,0,True
3,1,100000,300000,4,2,0,uniform,0,0.405288,17580032,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,2,100000,300000,4,2,2,uniform,0,0.299794,18530304,4123832,466872,152550216,152550216,0,204177,95823,65007,254,16,340,0,0,0,10283,True
3,3,100000,300000,4,2,8,uniform,0,0.177283,20594688,5882360,2225400,48245176,48245176,0,272209,27791,25652,256,16,4481,0,0,0,150143,True
3,4,100000,300000,4,2,4,uniform,0,0.229565,18923520,4698416,1041456,90200000,90200000,0,245000,55000,44991,256,16,1910,0,0,0,53454,True
3,1,100000,300000,4,2,0,uniform,0,0.139944,18219008,3656960,0,225082112,225082112,0,0,300000,2896,256,16,2753,1,2896,298822,298822,True
3,2,100000,300000,4,2,2,uniform,0,0.0928245,18857984,4123832,466872,86072136,86072136,0,204177,95823,1983,256,16,1892,1,1952,95631,299289,True
3,3,100000,300000,4,2,8,uniform,0,0.0660857,21069824,5882360,2225400,32096440,32096440,0,272209,27791,1441,256,16,1414,1,1301,27773,299773,True
3,4,100000,300000,4,2,4,uniform,0,0.0774159,19447808,4698416,1041456,54618304,54618304,0,245000,55000,1627,256,16,1567,1,1579,54917,299539,True
3,1,100000,300000,4,4,4,uniform,0,0.242005,19365888,4698416,1041456,90200000,90200000,0,245000,55000,44974,255,16,1967,0,0,0,54574,True
3,2,100000,300000,4,4,8,uniform,0,0.199776,20643840,5882360,2225400,48245176,48245176,0,272209,27791,25683,256,16,4490,0,0,0,149667,True
3,3,100000,300000,4,4,2,uniform,0,0.320179,18595840,4123832,466872,152550216,152550216,0,204177,95823,65043,255,16,330,0,0,0,10051,True
3,4,100000,300000,4,4,0,uniform,0,0.409118,17563648,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,1,100000,300000,4,4,4,uniform,0,0.0867737,19513344,4698416,1041456,54778304,54778304,0,245000,55000,1653,256,16,1599,1,1608,54920,299548,True
3,2,100000,300000,4,4,8,uniform,0,0.0747265,21118976,5882360,2225400,32085944,32085944,0,272209,27791,1447,256,16,1413,1,1303,27766,299712,True
3,3,100000,300000,4,4,2,uniform,0,0.103196,19038208,4123832,466872,85831240,85831240,0,204177,95823,1927,256,16,1850,1,1903,95671,299419,True
3,4,100000,300000,4,4,0,uniform,0,0.155256,18350080,3656960,0,224863488,224863488,0,0,300000,2881,256,16,2726,1,2881,298713,298713,True
3,1,100000,300000,4,4,8,uniform,1,0.0751461,53903360,5882360,2225400,32105912,32105912,0,272209,27791,1449,256,16,1418,1,1305,27769,299758,True
3,2,100000,300000,4,4,0,uniform,1,0.162153,251920384,3656960,0,225012992,225012992,0,0,300000,2887,256,16,2725,1,2887,298669,298669,True
3,3,100000,300000,4,4,4,uniform,1,0.0889031,75874304,4698416,1041456,54812608,54812608,0,245000,55000,1657,256,16,1605,1,1612,54916,299591,True
3,4,100000,300000,4,4,2,uniform,1,0.10333,108183552,4123832,466872,85980488,85980488,0,204177,95823,1937,256,16,1867,1,1921,95669,299439,True
3,1,100000,300000,4,4,8,uniform,1,0.194587,71663616,5882360,2225400,48245176,48245176,0,272209,27791,25690,256,16,4479,0,0,0,149786,True
3,2,100000,300000,4,4,0,uniform,1,0.424659,511934464,3656960,0,460800000,460800000,0,0,300000,0,0,16,0,0,0,0,0,True
3,3,100000,300000,4,4,4,uniform,1,0.238955,115097600,4698416,1041456,90200000,90200000,0,245000,55000,44968,255,16,1962,0,0,0,54420,True
3,4,100000,300000,4,4,2,uniform,1,0.329748,181862400,4123832,466872,152550216,152550216,0,204177,95823,64919,254,16,348,0,0,0,10344,True
3,1,100000,300000,4,2,2,uniform,1,0.0927265,108085248,4123832,466872,86024008,86024008,0,204177,95823,1930,256,16,1872,1,1913,95684,299517,True
3,2,100000,300000,4,2,4,uniform,1,0.0779202,75743232,4698416,1041456,54798272,54798272,0,245000,55000,1664,256,16,1604,1,1613,54919,299524,True
3,3,100000,300000,4,2,0,uniform,1,0.145638,252166144,3656960,0,225352960,225352960,0,0,300000,2915,256,16,2759,1,2915,298680,298680,True
3,4,100000,300000,4,2,8,uniform,1,0.0653424,53739520,5882360,2225400,32033976,32033976,0,272209,27791,1421,256,16,1386,1,1280,27763,299710,True
