run,records,updates,clients,wait_each,native_pipeline,blocked_probes,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
2,100000,100000,4,0,True,95799,4,2,uniform,1,0.0730223,187564032,3669504,12544,147375080,147375080,0,4189,95811,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,56850,4,8,uniform,1,0.0644532,127746048,5190760,1533800,90034808,90034808,0,43147,56853,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,100000,4,0,True,86527,4,4,uniform,1,0.0695802,173309952,3841144,184184,133885184,133885184,0,13470,86530,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,0,uniform,0,0.00634204,20676608,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,2,uniform,0,0.00438725,20676608,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,8,uniform,0,0.00321254,20611072,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,4,uniform,0,0.00291729,20545536,477576,112008,163312,163312,0,2882,118,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,0,uniform,1,0.00536467,24592384,365568,0,3840000,3840000,0,0,3000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,2,uniform,1,0.00386954,21266432,413056,47488,778888,778888,0,2417,583,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,8,uniform,1,0.002763,20627456,592968,227400,2960,2960,0,2998,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,10000,3000,1,1,True,0,1,4,uniform,1,0.00365563,20643840,477576,112008,163312,163312,0,2882,118,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,87017,1,4,uniform,0,0.0684881,35864576,3665904,8944,134745080,134745080,0,12977,87023,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,62446,1,8,uniform,0,0.0596841,35127296,3752160,95200,99585064,99585064,0,37551,62449,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,97642,1,2,uniform,0,0.0742113,30359552,3658920,1960,150108856,150108856,0,2354,97646,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,0,1,0,uniform,0,0.0705414,30015488,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,93970,2,4,uniform,0,0.0676839,38993920,3657376,416,144840320,144840320,0,6029,93971,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,80351,2,8,uniform,0,0.0643022,41779200,3660360,3400,125397072,125397072,0,19648,80352,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,99030,2,2,uniform,0,0.0698183,35995648,3657016,56,152165232,152165232,0,968,99032,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,0,2,0,uniform,0,0.0614019,35880960,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,86043,4,4,uniform,0,0.075324,31047680,3922056,265096,133109912,133109912,0,13953,86047,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,62007,4,8,uniform,0,0.062636,39436288,5149760,1492800,97647224,97647224,0,37991,62009,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,99604,4,2,uniform,0,0.070812,37142528,3657016,56,153014896,153014896,0,395,99605,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,0,4,0,uniform,0,0.0553048,44433408,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,88988,1,4,uniform,1,0.0724055,176865280,3681192,24232,137588088,137588088,0,11008,88992,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,74137,1,8,uniform,1,0.0692314,154451968,3667760,10800,116577104,116577104,0,25861,74139,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,98191,1,2,uniform,1,0.0759897,191201280,3687256,30296,150895896,150895896,0,1805,98195,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,0,1,0,uniform,1,0.0755616,194035712,3656960,0,153600000,153600000,0,0,100000,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,92070,2,4,uniform,1,0.069388,181747712,3658208,1248,142093184,142093184,0,7928,92072,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,80379,2,8,uniform,1,0.060912,163954688,3660360,3400,125438480,125438480,0,19620,80380,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3,100000,100000,4,0,True,98747,2,2,uniform,1,0.0730239,192118784,3687928,30968,151715704,151715704,0,1251,98749,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
