run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,reference_ok
2,1,10000,30000,4,4,0,zipfian,1,0.029095,46006272,365568,0,38400000,38400000,0,0,30000,0,0,True
2,2,10000,30000,4,4,2,zipfian,1,0.0922041,18399232,411824,46256,12816248,12816248,0,20407,9593,6614,31,True
2,3,10000,30000,4,4,8,zipfian,1,0.0470568,9027584,590568,225000,4068520,4068520,0,27251,2749,2586,81,True
2,4,10000,30000,4,4,4,zipfian,1,0.0759477,12746752,469048,103480,7624456,7624456,0,24491,5509,4541,54,True
3,1,10000,30000,4,1,8,uniform,0,0.0101299,8667136,593168,227600,4098120,4098120,0,27231,2769,2519,236,True
3,2,10000,30000,4,1,0,uniform,0,0.0276784,8699904,365568,0,38400000,38400000,0,0,30000,0,0,True
3,3,10000,30000,4,1,4,uniform,0,0.0164007,8650752,471752,106184,7598160,7598160,0,24510,5490,4481,235,True
3,4,10000,30000,4,1,2,uniform,0,0.023608,8601600,413224,47656,12796208,12796208,0,20422,9578,6539,181,True
3,1,10000,30000,4,2,0,uniform,0,0.0265178,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
3,2,10000,30000,4,2,2,uniform,0,0.070029,8601600,413224,47656,12796208,12796208,0,20422,9578,6551,181,True
3,3,10000,30000,4,2,8,uniform,0,0.0348002,8601600,593168,227600,4098120,4098120,0,27231,2769,2529,235,True
3,4,10000,30000,4,2,4,uniform,0,0.0565308,8667136,471752,106184,7598160,7598160,0,24510,5490,4496,235,True
3,1,10000,30000,4,4,4,uniform,0,0.0724382,8601600,471752,106184,7598160,7598160,0,24510,5490,4493,235,True
3,2,10000,30000,4,4,8,uniform,0,0.0449742,8601600,593168,227600,4098120,4098120,0,27231,2769,2513,236,True
3,3,10000,30000,4,4,2,uniform,0,0.0898666,8601600,413224,47656,12796208,12796208,0,20422,9578,6545,181,True
3,4,10000,30000,4,4,0,uniform,0,0.0262014,8601600,365568,0,38400000,38400000,0,0,30000,0,0,True
3,1,10000,30000,4,4,8,uniform,1,0.0460146,8896512,593168,227600,4098120,4098120,0,27231,2769,2544,242,True
3,2,10000,30000,4,4,0,uniform,1,0.0296601,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
3,3,10000,30000,4,4,4,uniform,1,0.0739162,12533760,471752,106184,7598160,7598160,0,24510,5490,4514,233,True
3,4,10000,30000,4,4,2,uniform,1,0.0921653,18219008,413224,47656,12796208,12796208,0,20422,9578,6521,181,True
3,1,10000,30000,4,2,2,uniform,1,0.071189,18120704,413224,47656,12796208,12796208,0,20422,9578,6540,172,True
3,2,10000,30000,4,2,4,uniform,1,0.0553094,12468224,471752,106184,7598160,7598160,0,24510,5490,4498,231,True
3,3,10000,30000,4,2,0,uniform,1,0.0292813,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
3,4,10000,30000,4,2,8,uniform,1,0.0342835,8830976,593168,227600,4098120,4098120,0,27231,2769,2508,235,True
3,1,10000,30000,4,1,0,uniform,1,0.0302493,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
3,2,10000,30000,4,1,2,uniform,1,0.0238453,18071552,413224,47656,12796208,12796208,0,20422,9578,6542,181,True
3,3,10000,30000,4,1,8,uniform,1,0.0104902,8781824,593168,227600,4098120,4098120,0,27231,2769,2543,241,True
3,4,10000,30000,4,1,4,uniform,1,0.0172856,12419072,471752,106184,7598160,7598160,0,24510,5490,4508,234,True
3,1,10000,30000,4,4,8,hot,0,0.052065,8716288,592168,226600,4428160,4428160,0,27008,2992,2840,24,True
3,2,10000,30000,4,4,0,hot,0,0.0233698,8667136,365568,0,38400000,38400000,0,0,30000,0,0,True
3,3,10000,30000,4,4,4,hot,0,0.0766604,8617984,475080,109512,7654904,7654904,0,24469,5531,4663,18,True
3,4,10000,30000,4,4,2,hot,0,0.0932593,8749056,412608,47040,12802888,12802888,0,20417,9583,6706,13,True
3,1,10000,30000,4,2,2,hot,0,0.0694802,8634368,412608,47040,12802888,12802888,0,20417,9583,6779,13,True
3,2,10000,30000,4,2,4,hot,0,0.0572619,8650752,475080,109512,7654904,7654904,0,24469,5531,4665,17,True
3,3,10000,30000,4,2,0,hot,0,0.0238661,8634368,365568,0,38400000,38400000,0,0,30000,0,0,True
3,4,10000,30000,4,2,8,hot,0,0.0384615,8601600,592168,226600,4428160,4428160,0,27008,2992,2804,24,True
3,1,10000,30000,4,1,0,hot,0,0.0236162,8650752,365568,0,38400000,38400000,0,0,30000,0,0,True
3,2,10000,30000,4,1,2,hot,0,0.0203849,8601600,412608,47040,12802888,12802888,0,20417,9583,6823,13,True
3,3,10000,30000,4,1,8,hot,0,0.00973242,8716288,592168,226600,4428160,4428160,0,27008,2992,2809,24,True
3,4,10000,30000,4,1,4,hot,0,0.0144663,8617984,475080,109512,7654904,7654904,0,24469,5531,4654,19,True
3,1,10000,30000,4,1,2,hot,1,0.0219277,18071552,412608,47040,12802888,12802888,0,20417,9583,6811,13,True
3,2,10000,30000,4,1,4,hot,1,0.0148596,12484608,475080,109512,7654904,7654904,0,24469,5531,4632,18,True
3,3,10000,30000,4,1,0,hot,1,0.0273121,45776896,365568,0,38400000,38400000,0,0,30000,0,0,True
3,4,10000,30000,4,1,8,hot,1,0.0102217,9142272,592168,226600,4428160,4428160,0,27008,2992,2796,23,True
3,1,10000,30000,4,2,4,hot,1,0.0583668,12517376,475080,109512,7654904,7654904,0,24469,5531,4673,18,True
3,2,10000,30000,4,2,8,hot,1,0.04078,9191424,592168,226600,4428160,4428160,0,27008,2992,2820,23,True
3,3,10000,30000,4,2,2,hot,1,0.0697024,18120704,412608,47040,12802888,12802888,0,20417,9583,6772,13,True
3,4,10000,30000,4,2,0,hot,1,0.0275272,45793280,365568,0,38400000,38400000,0,0,30000,0,0,True
3,1,10000,30000,4,4,0,hot,1,0.0274713,45826048,365568,0,38400000,38400000,0,0,30000,0,0,True
3,2,10000,30000,4,4,2,hot,1,0.0983167,18202624,412608,47040,12802888,12802888,0,20417,9583,6836,12,True
3,3,10000,30000,4,4,8,hot,1,0.0510199,9273344,592168,226600,4428160,4428160,0,27008,2992,2798,25,True
3,4,10000,30000,4,4,4,hot,1,0.0785421,12566528,475080,109512,7654904,7654904,0,24469,5531,4669,20,True
3,1,10000,30000,4,1,2,zipfian,0,0.0225511,8617984,411824,46256,12816248,12816248,0,20407,9593,6579,29,True
3,2,10000,30000,4,1,4,zipfian,0,0.0156312,8601600,469048,103480,7624456,7624456,0,24491,5509,4513,54,True
3,3,10000,30000,4,1,0,zipfian,0,0.0261242,8667136,365568,0,38400000,38400000,0,0,30000,0,0,True
3,4,10000,30000,4,1,8,zipfian,0,0.00964088,8601600,590568,225000,4068520,4068520,0,27251,2749,2572,76,True
3,1,10000,30000,4,2,4,zipfian,0,0.0570349,8601600,469048,103480,7624456,7624456,0,24491,5509,4566,54,True
3,2,10000,30000,4,2,8,zipfian,0,0.0358062,8601600,590568,225000,4068520,4068520,0,27251,2749,2590,81,True
3,3,10000,30000,4,2,2,zipfian,0,0.0701266,8601600,411824,46256,12816248,12816248,0,20407,9593,6604,31,True
3,4,10000,30000,4,2,0,zipfian,0,0.0258052,8683520,365568,0,38400000,38400000,0,0,30000,0,0,True
3,1,10000,30000,4,4,0,zipfian,0,0.0269699,8683520,365568,0,38400000,38400000,0,0,30000,0,0,True
3,2,10000,30000,4,4,2,zipfian,0,0.0923324,8683520,411824,46256,12816248,12816248,0,20407,9593,6603,29,True
3,3,10000,30000,4,4,8,zipfian,0,0.0463675,8601600,590568,225000,4068520,4068520,0,27251,2749,2588,81,True
3,4,10000,30000,4,4,4,zipfian,0,0.0733639,8617984,469048,103480,7624456,7624456,0,24491,5509,4574,54,True
3,1,10000,30000,4,4,2,zipfian,1,0.0930654,18415616,411824,46256,12816248,12816248,0,20407,9593,6579,31,True
3,2,10000,30000,4,4,4,zipfian,1,0.075877,12730368,469048,103480,7624456,7624456,0,24491,5509,4600,54,True
3,3,10000,30000,4,4,0,zipfian,1,0.0278963,46006272,365568,0,38400000,38400000,0,0,30000,0,0,True
3,4,10000,30000,4,4,8,zipfian,1,0.0469955,9043968,590568,225000,4068520,4068520,0,27251,2749,2577,81,True
3,1,10000,30000,4,2,8,zipfian,1,0.0366328,8962048,590568,225000,4068520,4068520,0,27251,2749,2614,60,True
3,2,10000,30000,4,2,0,zipfian,1,0.0287412,45973504,365568,0,38400000,38400000,0,0,30000,0,0,True
3,3,10000,30000,4,2,4,zipfian,1,0.0567085,12664832,469048,103480,7624456,7624456,0,24491,5509,4546,54,True
3,4,10000,30000,4,2,2,zipfian,1,0.0730776,18333696,411824,46256,12816248,12816248,0,20407,9593,6540,29,True
3,1,10000,30000,4,1,4,zipfian,1,0.0154795,12615680,469048,103480,7624456,7624456,0,24491,5509,4552,54,True
3,2,10000,30000,4,1,8,zipfian,1,0.0102268,8929280,590568,225000,4068520,4068520,0,27251,2749,2579,81,True
3,3,10000,30000,4,1,2,zipfian,1,0.0232408,18268160,411824,46256,12816248,12816248,0,20407,9593,6616,31,True
3,4,10000,30000,4,1,0,zipfian,1,0.0287403,45957120,365568,0,38400000,38400000,0,0,30000,0,0,True
