run,order,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,reference_ok
1,4,10000,30000,4,1,2,zipfian,0,0.0233782,8601600,411824,46256,12816248,12816248,0,20407,9593,6595,29,16,0,0,0,0,0,True
1,1,10000,30000,4,2,0,zipfian,0,0.0284016,8634368,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,2,10000,30000,4,2,2,zipfian,0,0.023754,8601600,411824,46256,12816248,12816248,0,20407,9593,6610,31,16,25,0,0,0,493,True
1,3,10000,30000,4,2,8,zipfian,0,0.0157711,8601600,590568,225000,4068520,4068520,0,27251,2749,2588,81,16,472,0,0,0,12973,True
1,4,10000,30000,4,2,4,zipfian,0,0.0190578,8650752,469048,103480,7624456,7624456,0,24491,5509,4505,54,16,173,0,0,0,3816,True
1,1,10000,30000,4,2,0,zipfian,0,0.0195623,8699904,365568,0,23128064,23128064,0,0,30000,3482,42,16,443,1,3482,8987,8987,True
1,2,10000,30000,4,2,2,zipfian,0,0.0171467,8601600,411824,46256,8412792,8412792,0,20407,9593,1529,55,16,806,1,1508,7089,22309,True
1,3,10000,30000,4,2,8,zipfian,0,0.0120356,8601600,590568,225000,3066024,3066024,0,27251,2749,769,92,16,609,1,737,2494,28176,True
1,4,10000,30000,4,2,4,zipfian,0,0.0151398,8814592,469048,103480,5328648,5328648,0,24491,5509,1115,82,16,783,1,1096,4691,26253,True
1,1,10000,30000,4,4,4,zipfian,0,0.0191516,8667136,469048,103480,7624456,7624456,0,24491,5509,4597,54,16,162,0,0,0,3667,True
1,2,10000,30000,4,4,8,zipfian,0,0.0163055,8683520,590568,225000,4068520,4068520,0,27251,2749,2563,81,16,471,0,0,0,13105,True
1,3,10000,30000,4,4,2,zipfian,0,0.0308111,8601600,411824,46256,12816248,12816248,0,20407,9593,6596,31,16,20,0,0,0,412,True
1,4,10000,30000,4,4,0,zipfian,0,0.0339375,8601600,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,1,10000,30000,4,4,4,zipfian,0,0.0197839,8601600,469048,103480,5299976,5299976,0,24491,5509,1091,70,16,764,1,1064,4778,26523,True
1,2,10000,30000,4,4,8,zipfian,0,0.0152307,8617984,590568,225000,3080616,3080616,0,27251,2749,782,120,16,623,1,757,2502,28256,True
1,3,10000,30000,4,4,2,zipfian,0,0.0214623,8617984,411824,46256,8445816,8445816,0,20407,9593,1532,56,16,802,1,1515,6996,22131,True
1,4,10000,30000,4,4,0,zipfian,0,0.0219374,8617984,365568,0,23098112,23098112,0,0,30000,3464,35,16,448,1,3464,9220,9220,True
1,1,10000,30000,4,4,8,zipfian,1,0.0185748,8601600,590568,225000,3042216,3042216,0,27251,2749,748,105,16,608,1,711,2557,28527,True
1,2,10000,30000,4,4,0,zipfian,1,0.0243228,28901376,365568,0,23091712,23091712,0,0,30000,3461,50,16,455,1,3461,9215,9215,True
1,3,10000,30000,4,4,4,zipfian,1,0.0194208,10371072,469048,103480,5321736,5321736,0,24491,5509,1114,63,16,776,1,1093,4735,26444,True
1,4,10000,30000,4,4,2,zipfian,1,0.0220938,13565952,411824,46256,8359032,8359032,0,20407,9593,1477,58,16,825,1,1456,7336,23000,True
1,1,10000,30000,4,4,8,zipfian,1,0.0170117,9142272,590568,225000,4068520,4068520,0,27251,2749,2569,81,16,487,0,0,0,13533,True
1,2,10000,30000,4,4,0,zipfian,1,0.0301834,46120960,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,3,10000,30000,4,4,4,zipfian,1,0.0192341,12861440,469048,103480,7624456,7624456,0,24491,5509,4591,54,16,164,0,0,0,3536,True
1,4,10000,30000,4,4,2,zipfian,1,0.0255915,18497536,411824,46256,12816248,12816248,0,20407,9593,6543,29,16,19,0,0,0,390,True
1,1,10000,30000,4,2,2,zipfian,1,0.0178158,13565952,411824,46256,8434552,8434552,0,20407,9593,1510,69,16,814,1,1498,7094,22446,True
1,2,10000,30000,4,2,4,zipfian,1,0.0155468,10272768,469048,103480,5308424,5308424,0,24491,5509,1095,71,16,775,1,1070,4765,26544,True
1,3,10000,30000,4,2,0,zipfian,1,0.0211623,28835840,365568,0,23081472,23081472,0,0,30000,3453,40,16,489,1,3453,9816,9816,True
1,4,10000,30000,4,2,8,zipfian,1,0.0123164,8601600,590568,225000,3057064,3057064,0,27251,2749,764,109,16,602,1,731,2527,28208,True
1,1,10000,30000,4,2,2,zipfian,1,0.0265284,18432000,411824,46256,12816248,12816248,0,20407,9593,6578,31,16,20,0,0,0,394,True
1,2,10000,30000,4,2,4,zipfian,1,0.0186942,12779520,469048,103480,7624456,7624456,0,24491,5509,4573,54,16,165,0,0,0,3579,True
1,3,10000,30000,4,2,0,zipfian,1,0.0315172,46088192,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,4,10000,30000,4,2,8,zipfian,1,0.0149278,9093120,590568,225000,4068520,4068520,0,27251,2749,2583,81,16,476,0,0,0,13484,True
1,1,10000,30000,4,1,0,zipfian,1,0.0294887,46071808,365568,0,38400000,38400000,0,0,30000,0,0,16,0,0,0,0,0,True
1,2,10000,30000,4,1,2,zipfian,1,0.0240641,18382848,411824,46256,12816248,12816248,0,20407,9593,6602,31,16,0,0,0,0,0,True
1,3,10000,30000,4,1,8,zipfian,1,0.0113941,9043968,590568,225000,4068520,4068520,0,27251,2749,2573,81,16,0,0,0,0,0,True
1,4,10000,30000,4,1,4,zipfian,1,0.0168133,12746752,469048,103480,7624456,7624456,0,24491,5509,4559,54,16,0,0,0,0,0,True
1,1,10000,30000,4,1,0,zipfian,1,0.0160026,28786688,365568,0,23084544,23084544,0,0,30000,3463,41,16,0,1,3463,0,0,True
1,2,10000,30000,4,1,2,zipfian,1,0.00820138,13484032,411824,46256,8465784,8465784,0,20407,9593,1541,55,16,0,1,1524,0,0,True
