dataset,run,order,slots,runner_wall_seconds,fat_slots,gc_enabled,clients,records,transactions,reads,scans,updates,ignored_transactions,checksum,gc_retired_nodes,gc_reclaimed_nodes,gc_pending_nodes,gc_retired_bytes,gc_reclaimed_bytes,gc_pending_bytes,live_nodes,live_internal_nodes,live_leaf_nodes,live_sidecar_leaves,live_delta_records,live_requested_bytes,live_sidecar_requested_bytes,current_rss_bytes,peak_rss_bytes,init_elapsed_seconds,elapsed_seconds,gc_collect_elapsed_seconds,total_elapsed_seconds,num_pipes
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_memory_curve_100pct.data,2,4,2,0.439291083,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1980496,1980496,0,522850944,522850944,0,189779,18084,171695,103647,151216,54387656,5804232,135954432,135954432,0.049135083,0.364322083,0.000243625,0.413700791,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,2,1,0,0.588176792,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,161660928,161693696,0.049333833,0.505180583,0.000680875,0.555195291,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,2,2,2,0.423766083,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,2042817,2042817,0,539303688,539303688,0,142856,17856,125000,83106,124507,41225072,4653936,124944384,124977152,0.048902417,0.350594208,0.000567542,0.400064167,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,2,3,8,0.279956250,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,356755,356755,0,101522280,101522280,0,142856,17856,125000,109350,541315,58441136,21870000,133922816,133922816,0.049038000,0.207420125,0.000094458,0.256552583,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update.data,2,4,4,0.335608375,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1050070,1050070,0,284418960,284418960,0,142856,17856,125000,100150,249950,46986736,10415600,123797504,123830272,0.048851708,0.263928833,0.000137209,0.312917750,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,2,1,2,0.324341875,2,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,2081982,2081982,0,549643248,549643248,0,142856,17856,125000,75200,107722,40782336,4211200,124338176,124338176,0.048967958,0.252339083,0.000221958,0.301528999,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,2,2,4,0.248146916,4,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,1131088,1131088,0,306363264,306363264,0,142856,17856,125000,89333,192080,45861768,9290632,122011648,122011648,0.049627750,0.178396417,0.000088333,0.228112500,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,2,3,0,0.514936667,0,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,7000000,7000000,0,1792000000,1792000000,0,142856,17856,125000,0,0,36571136,0,162381824,162414592,0.048978541,0.431823250,0.000514500,0.481316291,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_zipfian_update.data,2,4,8,0.211177083,8,1,1,1000000,1000000,0,0,1000000,0,6238072747940578789,548450,548450,0,156073200,156073200,0,142856,17856,125000,96517,294850,55874536,19303400,128647168,128647168,0.049066791,0.142948500,0.000050458,0.192065749,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,1,4,1.601780083,4,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,6649328,6649328,0,1801017984,1801017984,0,142856,17856,125000,100080,250480,46979456,10408320,219119616,219152384,0.049929417,1.508873416,0.000141792,1.558944625,3
/Users/minrain/homework/Path_Copy_memory_version/Contrees/ycsbc/export/workload_fat_uniform_update_long.data,2,2,8,1.347745667,8,1,1,1000000,5000000,0,0,5000000,0,6238072747940578789,3500077,3500077,0,996021912,996021912,0,142856,17856,125000,111143,499901,58799736,22228600,229752832,229785600,0.049134625,1.254718125,0.000107084,1.303959834,3
