run,version,slots,worker,inserts,iterations,seconds,checksum,reference_ok
2,before,8,1,0,500000,0.063367958,1507503015,True
2,after,8,1,0,500000,0.022287166,1507503015,True
2,after,8,0,1,500000,0.030535792,1015002030,True
2,before,8,0,1,500000,0.053695875,1015002030,True
2,after,8,1,1,500000,0.050845667,1015002030,True
2,before,8,1,1,500000,0.08166525,1015002030,True
2,before,2,1,0,500000,0.041461125,1507503015,True
2,after,2,1,0,500000,0.016121958,1507503015,True
2,before,2,0,0,500000,0.028529416,1507503015,True
2,after,2,0,0,500000,0.013045958,1507503015,True
3,before,4,1,1,500000,0.059568833,1012502025,True
3,after,4,1,1,500000,0.035637791,1012502025,True
3,before,8,1,1,500000,0.084627584,1015002030,True
3,after,8,1,1,500000,0.049736,1015002030,True
3,after,4,0,0,500000,0.014573041,1507503015,True
3,before,4,0,0,500000,0.035775417,1507503015,True
3,after,2,1,0,500000,0.016376917,1507503015,True
3,before,2,1,0,500000,0.041721166,1507503015,True
3,after,8,0,0,500000,0.017576708,1507503015,True
3,before,8,0,0,500000,0.05151775,1507503015,True
3,before,8,0,1,500000,0.053120708,1015002030,True
3,after,8,0,1,500000,0.029561625,1015002030,True
3,before,2,0,1,500000,0.034220958,1012002024,True
3,after,2,0,1,500000,0.021427292,1012002024,True
3,before,4,0,1,500000,0.040276334,1012502025,True
3,after,4,0,1,500000,0.024106542,1012502025,True
3,before,2,1,1,500000,0.051606084,1012002024,True
3,after,2,1,1,500000,0.028478792,1012002024,True
3,after,2,0,0,500000,0.01337575,1507503015,True
3,before,2,0,0,500000,0.028571875,1507503015,True
3,before,8,1,0,500000,0.063623042,1507503015,True
3,after,8,1,0,500000,0.0231115,1507503015,True
3,before,4,1,0,500000,0.046609625,1507503015,True
3,after,4,1,0,500000,0.017733583,1507503015,True
4,after,2,0,0,500000,0.013532125,1507503015,True
4,before,2,0,0,500000,0.028452792,1507503015,True
4,before,4,0,1,500000,0.040203625,1012502025,True
4,after,4,0,1,500000,0.02437575,1012502025,True
4,before,8,0,0,500000,0.051734458,1507503015,True
4,after,8,0,0,500000,0.017081833,1507503015,True
4,before,8,1,0,500000,0.0652095,1507503015,True
4,after,8,1,0,500000,0.023527459,1507503015,True
4,before,2,0,1,500000,0.033703792,1012002024,True
4,after,2,0,1,500000,0.021846125,1012002024,True
4,after,2,1,0,500000,0.016665375,1507503015,True
4,before,2,1,0,500000,0.041162542,1507503015,True
4,after,4,1,1,500000,0.036975291,1012502025,True
4,before,4,1,1,500000,0.061370375,1012502025,True
4,before,4,0,0,500000,0.035495625,1507503015,True
4,after,4,0,0,500000,0.014533167,1507503015,True
4,before,8,1,1,500000,0.084280041,1015002030,True
4,after,8,1,1,500000,0.050673791,1015002030,True
4,before,8,0,1,500000,0.053951417,1015002030,True
4,after,8,0,1,500000,0.029594542,1015002030,True
4,before,4,1,0,500000,0.04734,1507503015,True
4,after,4,1,0,500000,0.018135084,1507503015,True
4,after,2,1,1,500000,0.027982042,1012002024,True
4,before,2,1,1,500000,0.050868375,1012002024,True
5,before,8,0,0,500000,0.051603459,1507503015,True
5,after,8,0,0,500000,0.018283667,1507503015,True
5,after,2,1,0,500000,0.016425042,1507503015,True
5,before,2,1,0,500000,0.042429958,1507503015,True
5,before,4,0,1,500000,0.039962166,1012502025,True
5,after,4,0,1,500000,0.024346291,1012502025,True
5,after,2,0,0,500000,0.013251958,1507503015,True
5,before,2,0,0,500000,0.028498625,1507503015,True
5,after,4,0,0,500000,0.015991875,1507503015,True
5,before,4,0,0,500000,0.03578225,1507503015,True
5,after,2,1,1,500000,0.028238667,1012002024,True
5,before,2,1,1,500000,0.051980875,1012002024,True
5,after,8,0,1,500000,0.029812667,1015002030,True
5,before,8,0,1,500000,0.054633458,1015002030,True
5,before,8,1,0,500000,0.064770167,1507503015,True
5,after,8,1,0,500000,0.024097959,1507503015,True
5,after,4,1,1,500000,0.036005708,1012502025,True
5,before,4,1,1,500000,0.060249166,1012502025,True
5,after,4,1,0,500000,0.018338084,1507503015,True
5,before,4,1,0,500000,0.047076084,1507503015,True
5,after,8,1,1,500000,0.052245916,1015002030,True
5,before,8,1,1,500000,0.086029875,1015002030,True
5,after,2,0,1,500000,0.021433167,1012002024,True
5,before,2,0,1,500000,0.033681792,1012002024,True
