run,records,updates,clients,workers,slots,pattern,pinned,elapsed_seconds,peak_rss_bytes,live_requested_bytes,sidecar_bytes,retired_bytes,reclaimed_bytes,pending_bytes,appended_updates,cow_updates,append_waves,max_wave_groups,parallel_min_groups,parallel_waves,parallel_materialization,materialization_waves,parallel_materializations,parallel_updates,profile,queue_ns,plan_ns,inline_leaf_ns,parallel_wave_ns,merge_retire_ns,publish_ns,gc_ns,serial_cow_ns,worker_loop_ns,worker_wakeups,reference_ok
2,100000,300000,4,2,2,uniform,0,0.0681709,18710528,4123832,466872,85955144,85955144,0,204177,95823,1943,256,256,76,1,1921,6426,19456,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,uniform,0,0.0682993,18448384,4123832,466872,85855560,85855560,0,204177,95823,1911,256,1048576,0,1,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,uniform,0,0.105866,18972672,4123832,466872,85953864,85953864,0,204177,95823,1946,256,16,1874,1,1926,95678,299487,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,uniform,0,0.0965203,19021824,4123832,466872,85943880,85943880,0,204177,95823,1950,256,64,1574,1,1928,91756,287458,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,uniform,0,0.0874363,19300352,4123832,466872,85902920,85902920,0,204177,95823,1925,256,128,1139,1,1912,78618,247943,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,uniform,0,0.0711095,18808832,4123832,466872,86134856,86134856,0,204177,95823,1967,256,256,81,1,1950,6766,20736,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,4,2,uniform,0,0.067491,18497536,4123832,466872,85952072,85952072,0,204177,95823,1957,256,1048576,0,1,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,1,2,hot,0,0.120346,18186240,4133128,476168,79687824,79687824,0,204194,95806,31392,22,16,0,1,31047,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.11777,18333696,4133128,476168,79779728,79779728,0,204194,95806,31483,21,16,160,1,31102,1054,3732,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.109849,18202624,4133128,476168,79648656,79648656,0,204194,95806,31344,20,64,0,1,30999,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.106978,18235392,4133128,476168,79634576,79634576,0,204194,95806,31347,21,128,0,1,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.108442,18202624,4133128,476168,79638928,79638928,0,204194,95806,31369,22,256,0,1,30996,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2,100000,300000,4,2,2,hot,0,0.108313,18186240,4133128,476168,79601040,79601040,0,204194,95806,31341,19,1048576,0,1,30977,0,0,0,0,0,0,0,0,0,0,0,0,0,True
